id,zipcode,tax_region_name,state_rate,county_rate,city_rate,special_rate,risk_level,county_id
db77bc0d-e6f8-4ea5-930e-732df3636a3d,91740,COVINA,0.06,0.0025,0.0075,0.0325,0,f5faedf3-5176-42af-9144-15ee366c7655
1795b54d-daa2-41d9-b08a-f4507b564e8e,91741,GLENDORA,0.06,0.0025,0.0075,0.0325,0,f5faedf3-5176-42af-9144-15ee366c7655
039ad960-ac4c-426a-b529-deb244ebe107,91743,ONTARIO,0.06,0.0025,0.01,0.015,0,5e00904a-721b-408d-8ad1-684bb94c9ef9
82c01744-9378-430a-97e7-6b351de7a423,91744,LA PUENTE,0.06,0.0025,0.005,0.0325,0,bdb1741a-aca2-465f-a81e-83e6b06fe6ea
fa148ff9-b9b2-4fec-ba02-7c4df6bae05b,91745,INDUSTRY,0.06,0.0025,0,0.0325,0,f1c20c8e-a426-4e32-a810-3759d7fa06d8
c9e02969-64bd-4daa-869c-20e6d7a6ce9f,91746,BALDWIN PARK,0.06,0.0025,0.0075,0.0325,0,bdb1741a-aca2-465f-a81e-83e6b06fe6ea
5cc8b8f8-fe27-4baa-9fa5-4e237c8ff88f,91747,LA PUENTE,0.06,0.0025,0.005,0.0325,0,bdb1741a-aca2-465f-a81e-83e6b06fe6ea
53ba97b4-0f17-4d64-9dea-b819b256da32,91748,INDUSTRY,0.06,0.0025,0,0.0325,0,7a111ff6-97fb-4a82-b15e-4812016afb29
7583c027-28bf-4fe7-b747-dac438aea392,91749,LA PUENTE,0.06,0.0025,0.005,0.0325,0,bdb1741a-aca2-465f-a81e-83e6b06fe6ea
b5b2e002-c9fb-4a7a-ba89-f22b7ce81b7e,91750,LA VERNE,0.06,0.0025,0.0075,0.0325,0,c6c513c1-b86d-4f66-bd0b-c2a87c872654
fea7fad0-d088-442f-b27e-3ce787849c38,91752,ONTARIO,0.06,0.0025,0.01,0.015,0,19104f7c-ecfe-4c84-a0ca-f40c97e1aa9b
29aac2d2-b586-49e4-88c2-66874cdba7ba,91754,ALHAMBRA,0.06,0.0025,0.0075,0.0325,0,77c69990-17fc-47c9-bb30-fb75dd7f9b3c
aa15fd71-e96f-4604-a896-22ef9d150ec3,91755,MONTEBELLO,0.06,0.0025,0.0075,0.0325,0,77c69990-17fc-47c9-bb30-fb75dd7f9b3c
